,open,high,low,close,volume
2025-07-17,172.02,174.16,170.83,173.0,160841119
2025-07-18,173.64,174.25,171.26,172.41,146456416
2025-07-21,172.75,173.38,171.0,171.38,123126136
2025-07-22,171.34,171.39,164.58,167.03,193114327
2025-07-23,169.53,171.26,167.97,170.78,154082197
2025-07-24,172.44,173.83,171.3,173.74,128984628
2025-07-25,173.61,174.72,172.96,173.5,122316792
2025-07-28,174.02,177.0,173.97,176.75,140023521
2025-07-29,177.96,179.38,175.02,175.51,154077512
2025-07-30,176.51,179.89,176.04,179.27,174312208
2025-07-31,182.9,183.3,175.93,177.87,221685446
2025-08-01,174.09,176.54,170.89,173.72,204528985
2025-08-04,175.16,180.2,174.52,180.0,148174609
2025-08-05,179.62,180.26,175.9,178.26,156407621
2025-08-06,176.325,179.9,176.25,179.42,137192265
2025-08-07,181.57,183.88,178.795,180.77,151878365
2025-08-08,181.55,183.3,180.4,182.7,123396679
2025-08-11,182.05,183.84,180.25,182.06,138323191
2025-08-12,182.96,184.48,179.46,183.16,145729202
2025-08-13,182.615,183.97,179.35,181.59,179871724
2025-08-14,179.75,183.02,179.46,182.02,129553959
2025-08-15,181.88,181.9,178.0417,180.45,156602161
2025-08-18,180.6,182.9375,180.59,182.01,132007959
2025-08-19,182.43,182.5,175.49,175.64,185229219
2025-08-20,175.165,176.0,168.801,175.4,215142725
2025-08-21,174.85,176.9,173.81,174.98,140040850
2025-08-22,172.61,178.59,171.2,177.99,172789427
2025-08-25,178.35,181.91,176.57,179.81,163012789
2025-08-26,180.055,182.39,178.81,181.77,168688186
2025-08-27,181.98,182.49,179.1,181.6,235518949
2025-08-28,180.82,184.47,176.41,180.17,281787824
2025-08-29,178.11,178.15,173.145,174.18,243257873
2025-09-02,170.0,172.379,167.22,170.78,231164853
2025-09-03,171.06,172.41,168.875,170.62,161466040
2025-09-04,170.57,171.86,169.41,171.66,141670144
2025-09-05,168.03,169.03,164.07,167.02,224441435
2025-09-08,167.55,170.96,167.35,168.31,163769133
2025-09-09,169.09,170.98,166.7401,170.76,157548392
2025-09-10,176.64,179.29,175.47,177.33,226852020
2025-09-11,179.68,180.28,176.48,177.17,151159274
2025-09-12,177.77,178.595,176.45,177.82,124911026
2025-09-15,175.67,178.85,174.51,177.75,147061559
2025-09-16,177.0,177.5,174.38,174.88,140737775
2025-09-17,172.64,173.2,168.41,170.29,211843817
2025-09-18,173.98,177.1,172.96,176.24,191763313
2025-09-19,175.77,178.08,175.18,176.67,237182143
2025-09-22,175.3,184.55,174.7053,183.61,269637001
2025-09-23,181.97,182.42,176.21,178.43,192559552
2025-09-24,179.77,179.78,175.4,176.97,143564116
2025-09-25,174.48,180.26,173.125,177.69,191586733
2025-09-26,178.17,179.77,174.93,178.19,148573732
2025-09-29,180.425,184.0,180.32,181.85,193063455
2025-09-30,182.08,187.35,181.48,186.58,236981032
2025-10-01,185.24,188.14,183.9,187.24,173844901
2025-10-02,189.6,191.05,188.06,188.89,136805821
2025-10-03,189.19,190.36,185.38,187.62,137596896
2025-10-06,185.5,187.23,183.33,185.54,157678104
2025-10-07,186.23,189.06,184.0,185.04,140088008
2025-10-08,186.57,189.6,186.54,189.11,130168861
2025-10-09,192.225,195.3,191.06,192.57,182997234
2025-10-10,193.505,195.62,182.05,183.16,268774359
2025-10-13,187.965,190.1099,185.96,188.32,153482755
2025-10-14,184.77,184.8,179.7,180.03,205641380
2025-10-15,184.8,184.87,177.29,179.83,214450482
2025-10-16,182.23,183.28,179.77,181.81,179723309
2025-10-17,180.18,184.1,179.75,183.22,173135217
2025-10-20,183.13,185.2,181.73,182.64,128544711
2025-10-21,182.785,182.785,179.8,181.16,124240168
2025-10-22,181.14,183.44,176.76,180.28,162249552
2025-10-23,180.42,183.03,179.7901,182.16,111363718
2025-10-24,183.835,187.47,183.5,186.26,131296677
2025-10-27,189.99,192.0,188.4318,191.49,153452704
2025-10-28,193.05,203.15,191.91,201.03,297986180
2025-10-29,207.98,212.1899,204.775,207.04,308829564
2025-10-30,205.15,206.16,201.41,202.89,178864443
2025-10-31,206.45,207.97,202.07,202.49,179802178
2025-11-03,208.08,211.335,205.56,206.88,180267285
2025-11-04,203.0,203.9699,197.93,198.69,188919320
2025-11-05,198.77,202.92,194.65,195.21,166849081
2025-11-06,196.42,197.62,186.38,188.08,223029778
2025-11-07,184.9,188.32,178.91,188.15,264942255
2025-11-10,195.11,199.94,193.79,199.05,198897134
2025-11-11,195.155,195.42,191.3,193.16,176483327
2025-11-12,195.72,195.89,191.13,193.8,154935263
2025-11-13,191.05,191.44,183.85,186.86,207423074
2025-11-14,182.86,191.01,180.58,190.17,186591856
2025-11-17,185.965,189.0,184.32,186.6,173628858
2025-11-18,183.375,184.8,179.65,181.36,213598877
2025-11-19,184.79,187.855,182.8301,186.52,247246436
2025-11-20,195.95,196.0,179.85,180.64,343504849
2025-11-21,181.235,184.56,172.93,178.88,346926153
2025-11-24,179.49,183.5,176.48,182.55,256618335
2025-11-25,174.91,178.16,169.55,177.82,320600271
2025-11-26,181.63,182.91,178.24,180.26,183852010
2025-11-28,179.01,179.29,176.5,177.0,121332776
2025-12-01,174.76,180.3,173.68,179.92,188130955
2025-12-02,181.76,185.66,180.0,181.46,182632230
2025-12-03,181.08,182.45,179.1101,179.59,165138023
2025-12-04,181.62,184.515,179.96,183.38,167364857
2025-12-05,183.89,184.66,180.91,182.41,143971098
